NDB_No,Restaurant,Shrt_Desc,Energ_Kcal,Protein_(g),Lipid_Tot_(g),Iron_(mg),Sodium_(mg),Cholestrl_(mg),Carbohydrt_(g),Water_(g)
21491,Pizza Hut,"PIZZA HUT 14"" PEPPERONI PIZZA_THIN 'N CRISPY CRUST",333,14.13,16.17,2.78,967,37,32.66,33.57
21492,Dominos,"DOMINO'S 14"" PEPPERONI PIZZA_CRUNCHY THIN CRUST",328,13.88,19.05,1.13,783,38,25.35,38.53
21493,Dominos,"DOMINO'S 14"" SAUSAGE PIZZA_CRUNCHY THIN CRUST",319,12.77,18.52,1.07,725,35,25.3,40.38
21494,Dominos,"DOMINO'S 14"" SAUSAGE PIZZA_CLASSIC HAND-TOSSED CRUST",273,11.08,11.2,2.36,594,21,31.84,43.55
21495,Dominos,"DOMINO'S 14"" SAUSAGE PIZZA_ULTIMATE DEEP DISH CRUST",277,11.03,12.03,2.5,677,23,31.17,43.12
21496,Pizza Hut,"PIZZA HUT 14"" SAUSAGE PIZZA_THIN 'N CRISPY CRUST",323,13.95,16.9,2.38,839,37,28.7,37.28
21497,Pizza Hut,"PIZZA HUT 14"" SAUSAGE PIZZA_HAND-TOSSED CRUST",287,11.92,13.5,2.45,671,26,29.39,42.57
21498,Pizza Hut,"PIZZA HUT 14"" SAUSAGE PIZZA_PAN CRUST",287,11.08,13.85,2.39,596,23,29.56,43.33
21506,Burger King,BURGER KING_DOUBLE CHEESEBURGER,282,16.83,16.13,2.33,562,,17.43,47.37
21507,Wendy's,WENDY'S_DOUBLE STACK_W/ CHS,285,18.53,16.6,2.75,477,,15.35,47.58
21509,Burger King,BURGER KING_ONION RINGS,417,3.86,25.23,0.78,776,,43.58,24.52
21510,Wendy's,WENDY'S_DAVE'S HOT 'N JUICY 1/4 LB_SINGLE,268,13.69,15.8,2.3,473,51,17.73,50.92
21512,Pizza Hut,"PIZZA HUT 14"" CHS PIZZA_STUFFED CRUST",274,12.23,11.63,2.04,615,30,30,43.37
21522,McDonald's,MCDONALD'S_SOUTHERN STYLE CHICK BISCUIT,304,11.93,14.93,1.76,868,,30.56,39.4
21523,McDonald's,MCDONALD'S_RANCH SNACK WRAP_CRISPY,275,11.48,15.1,1.47,607,,23.22,47.88
21524,McDonald's,MCDONALD'S_RANCH SNACK WRAP_GRILLED,222,13.77,10.31,1.45,577,,18.43,55.17
21525,Pizza Hut,PIZZA HUT_BREADSTICK_PARMESAN GARLIC,343,12.2,12.88,4.65,539,7,44.48,28.38
